name,cluster
Agnes Binagwaho,18
Alexis Nzahabwanimana,0
Anastase Murekezi,0
Anastase Shyaka,0
Ben Gasore,12
Benjamin Gasamagera,25
Bernard Makuza,4
Celestin Rwabukumba,12
Charles Munyaneza,8
Clare Akamanzi,0
Claver Gatete,0
Collins Mwai,19
Daniel Ngamije,1
Diane Gashumba,2
Diane Rwigara,3
Diane Shima Rwigara,5
Donald Kaberuka,2
Donatille Mukabalisa,4
Edmund Kagire,6
Edouard Ngirente,6
Evode Imena,0
Evode Uwizeyimana,7
Francis Gatare,0
Francis Kaboneka,0
Francois Kanimba,0
Frank Habineza,0
Geraldine Mukeshimana,6
Gerardine Mukeshimana,0
Gilbert Mwenedata,9
Gonza Muganwa,11
Ignatius Ssuuna,10
Isaac Munyakazi,7
Jack Kayonga,12
James Karuhanga,0
James Musoni,0
Jean Bosco Mugiraneza,13
Jean Claude Ntezimana,0
Jean Philbert Nsengimana,0
Jeannette Kagame,0
John Rwangombwa,0
Johnston Busingye,14
Judith Uwizeye,0
Juvenal Habyarimana,14
Juvenal Nkusi,14
Kalisa Mbanda,15
Kizito Mihigo,0
Lady Jeannette Kagame,4
Louise Mushikiwabo,0
Louise Umutoni,28
Mark Cyubahiro Bagabe,16
Maurice Toroitich,2
Obadiah Biraro,17
Patrick Nyirishema,20
Paul Kagame,6
Paul Kagame Paulkagame,21
Paul Rusesabagina,4
Paula Ingabire,2
Peterson Tumwebaze,22
Philippe Mpayimana,23
Richard Muhumuza,24
Richard Sezibera,2
Richard Tusabe,26
Robert Bayigamba,27
Robert Mathu,12
Rosemary Mbabazi,7
Sharon Kantengwa,28
Theoneste Karenzi,29
Tony Nsanganira,30
Uzziel Ndagijimana,6
Victoire Ingabire,31
Vincent Biruta,6
Vincent Munyeshyaka,0
