entity_name,cluster
daniel ngamije,4
paul kagame,1
richard sezibera,16
louise mushikiwabo,0
victoire ingabire,3
claver gatete,0
johnston busingye,5
francis gatare,0
james musoni,0
vincent munyeshyaka,0
vincent biruta,1
donatille mukabalisa,0
richard muhumuza,6
francis kaboneka,0
judith uwizeye,0
richard tusabe,8
paul rusesabagina,13
tony nsanganira,0
isaac munyakazi,0
evode imena,0
francois kanimba,0
john rwangombwa,0
anastase shyaka,0
anastase murekezi,0
jeannette kagame,0
frank habineza,0
gilbert mwenedata,0
kalisa mbanda,7
edouard ngirente,1
jean philbert nsengimana,0
geraldine mukeshimana,1
rosemary mbabazi,1
uzziel ndagijimana,1
robert bayigamba,9
gerardine mukeshimana,0
mark cyubahiro bagabe,10
kizito mihigo,0
diane gashumba,1
diane rwigara,11
obadiah biraro,0
jack kayonga,2
robert mathu,2
paula ingabire,1
evode uwizeyimana,0
jean bosco mugiraneza,0
donald kaberuka,0
clare akamanzi,0
juvenal habyarimana,12
alexis nzahabwanimana,0
bernard makuza,1
agnes binagwaho,14
charles munyaneza,0
benjamin gasamagera,3
celestin rwabukumba,2
maurice toroitich,1
patrick nyirishema,15
celestin twahirwa,17
ecobank transnational,1
deloitte touche tohmatsu,1
crane bank,1
african trade insurance agency,0
global trust bank,1
tanzania ports authority,0
african development bank (afdb),0
starbucks,13
kenya commercial bank (kcb),1
east african development bank (eadb),0
access bank,1
umurenge saccos,1
equity bank,1
carnegie mellon university,1
first data,1
bharti airtel,1
tongai maramba,1
visa international,1
fina bank,1
millicom international cellular,1
robin bairstow,1
astrazeneca,18
