index,article,id1,score_sum1,sent_count1,avg1,id2,score_sum2,sent_count2,avg2,co_mentions_sum,co_mentions_count,co_avg,flag_person,flag_company,entity_name,id1_cluster,entity_name_id2,id2_cluster
28,20180703110000-99,paul kagame,-0.332855292517812,1,-0.332855292517812,visa international,0.1919145830046771,2.0,0.0959572915023385,-0.332855292517812,1.0,-0.332855292517812,1,1,paul kagame,1.0,visa international,1.0
75,20150909021500-2463,peterson tumwebaze,14.562668277442828,2,7.281334138721414,access bank,68.05308477422676,10.0,6.805308477422676,14.562668277442828,2.0,7.281334138721414,1,1,,,access bank,1.0
80,20150729081500-661,tongai maramba,4.730595566520293,1,4.730595566520293,first data,16.726130346022135,7.0,2.3894471922888765,4.730595566520293,1.0,4.730595566520293,1,1,tongai maramba,1.0,first data,1.0
116,20170502223000-2358,donald kaberuka,11.083056316055016,2,5.541528158027508,african development bank (afdb),11.083056316055016,2.0,5.541528158027508,11.083056316055016,2.0,5.541528158027508,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
128,20201003034500-837,daniel ngamije,-4.878100224322677,2,-2.4390501121613384,anastase shyaka,-7.131324381253354,2.0,-3.565662190626677,-5.291202791567865,1.0,-5.291202791567865,1,0,daniel ngamije,4.0,anastase shyaka,0.0
151,20180308054500-1739,claver gatete,2.076198380207104,1,2.076198380207104,african development bank (afdb),37.84608628889719,15.0,2.5230724192598126,2.076198380207104,1.0,2.076198380207104,1,1,claver gatete,0.0,african development bank (afdb),0.0
165,20180123103000-1161,donald kaberuka,2.6754199200201265,1,2.6754199200201265,african development bank (afdb),2.6754199200201265,1.0,2.6754199200201265,2.6754199200201265,1.0,2.6754199200201265,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
192,20150615114500-2250,donald kaberuka,1.1291219874445648,2,0.5645609937222824,african development bank (afdb),5.373136825019503,3.0,1.7910456083398345,1.1291219874445648,2.0,0.5645609937222824,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
212,20180430121500-1885,collins mwai,-0.3649059822622685,2,-0.1824529911311342,african development bank (afdb),2.1447516364383064,2.0,1.0723758182191532,0.4933015680271397,1.0,0.4933015680271397,1,1,,,african development bank (afdb),0.0
213,20180430121500-1885,donald kaberuka,2.6114067276343738,4,0.6528516819085934,african development bank (afdb),2.1447516364383064,2.0,1.0723758182191532,2.1447516364383064,2.0,1.0723758182191532,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
214,20180430121500-1885,donald kaberuka,2.6114067276343738,4,0.6528516819085934,collins mwai,-0.3649059822622685,2.0,-0.1824529911311342,-0.3649059822622685,2.0,-0.1824529911311342,1,0,donald kaberuka,0.0,,
228,20171211130000-2809,paul kagame,0.5046629318152664,2,0.2523314659076332,african development bank (afdb),2.428492197789537,1.0,2.428492197789537,2.428492197789537,1.0,2.428492197789537,1,1,paul kagame,1.0,african development bank (afdb),0.0
231,20170204024500-1894,donald kaberuka,5.576262559974519,2,2.7881312799872595,african development bank (afdb),15.198487098437315,3.0,5.066162366145772,3.831028588283387,1.0,3.831028588283387,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
282,20150804093000-69,donald kaberuka,-0.3650709895587163,1,-0.3650709895587163,african development bank (afdb),-0.3650709895587163,1.0,-0.3650709895587163,-0.3650709895587163,1.0,-0.3650709895587163,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
299,20180524090000-2152,donald kaberuka,0.4630646928233008,1,0.4630646928233008,african development bank (afdb),0.4630646928233008,1.0,0.4630646928233008,0.4630646928233008,1.0,0.4630646928233008,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
330,20170911110000-212,donald kaberuka,0.7616824490500327,2,0.3808412245250163,african development bank (afdb),4.652823065354025,3.0,1.550941021784675,0.7616824490500327,2.0,0.3808412245250163,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
340,20160523114500-1240,paul kagame,-5.11470918803289,2,-2.557354594016445,african development bank (afdb),-5.035860652643512,3.0,-1.6786202175478373,-3.1604097111200664,1.0,-3.1604097111200664,1,1,paul kagame,1.0,african development bank (afdb),0.0
357,20150724110000-1348,donald kaberuka,14.147744141123006,3,4.715914713707669,african development bank (afdb),21.3482893129435,6.0,3.5580482188239166,14.147744141123006,3.0,4.715914713707669,1,1,donald kaberuka,0.0,african development bank (afdb),0.0
376,20170731234500-1032,access bank,4.216478916322952,1,4.216478916322952,visa international,6.135936796539475,14.0,0.4382811997528196,4.216478916322952,1.0,4.216478916322952,0,1,access bank,1.0,visa international,1.0
