entity_name,cluster
paul kagame,1
lady jeannette kagame,0
frank habineza,0
edouard ngirente,1
evode uwizeyimana,1
john rwangombwa,0
louise mushikiwabo,0
diane rwigara,4
clare akamanzi,0
anastase murekezi,0
jean bosco mugiraneza,5
johnston busingye,9
francis kaboneka,0
claver gatete,0
anastase shyaka,0
richard sezibera,0
francois kanimba,0
victoire ingabire,6
maurice toroitich,0
vincent biruta,1
agnes binagwaho,0
bernard makuza,1
diane shima rwigara,0
theos badege,15
isaac munyakazi,1
diane gashumba,0
ignatius ssuuna,1
patrick nyirishema,0
richard tusabe,0
francis gatare,0
philippe mpayimana,7
vincent munyeshyaka,1
sabin nsanzimana,0
kalisa mbanda,2
obadiah biraro,0
jean philbert nsengimana,0
judith uwizeye,0
collins mwai,0
uzziel ndagijimana,0
juvenal nkusi,0
tongai maramba,0
james musoni,0
peterson tumwebaze,0
juvenal habyarimana,16
kizito mihigo,8
charles munyaneza,2
paula ingabire,0
jack kayonga,0
gonza muganwa,0
sharon kantengwa,3
jean claude ntezimana,0
rose mureshyankwano,0
ben gasore,0
celestin rwabukumba,0
robert mathu,0
benjamin gasamagera,0
jeannette kagame,17
paul rusesabagina,0
donatille mukabalisa,1
richard muhumuza,1
daniel ngamije,10
donald kaberuka,0
gilbert mwenedata,1
rosemary mbabazi,1
robert bayigamba,11
papias malimba musafiri,0
james karuhanga,0
alexis nzahabwanimana,1
geraldine mukeshimana,1
theoneste karenzi,0
eugene kwibuka,0
evode imena,0
gerardine mukeshimana,0
yvonne manzi makolo,12
mark cyubahiro bagabe,13
celestin twahirwa,0
louise umutoni,3
yusuf murangwa,0
coletha ruhamya,0
isabelle kalihangabo,14
nelson ijumba,0
edmund kagire,1
umurenge saccos,0
equity bank rwanda,0
african development bank,0
ecobank transnational incorporated,0
access bank,0
african trade insurance agency,0
global trust bank,0
deloitte,0
east african development bank,0
robin bairstow,0
fina bank,0
bharti airtel,0
equity bank,0
carnegie mellon university,0
access bank plc,0
kenya commercial bank,0
starbucks,0
starbucks corp,0
deloitte touche tohmatsu,0
crane bank,0
visa international,0
astrazeneca,0
kenya commercial bank rwanda,0
visa,0
western union,0
millicom international cellular,0
access bank rwanda,0
