year,entity1,entity2,co_mention_count,tone_sum,co_mention_tone_avg,org_flag,person_flag
2015,Exxon,Ayodele Fayose,1,-2.26144511858798,-2.26144511858798,1,1
2015,Ogba Egbema Ndoni,Chevron,1,-2.90426676228039,-2.90426676228039,1,1
2015,Shell,Ahmad Lawan,1,-0.211515863689776,-0.211515863689776,1,1
2015,Exxon,Divisional Police,7,-41.09848484848484,-5.871212121212119,1,0
2015,Exxon,Donald Duke,2,5.55972952667168,2.77986476333584,1,1
2015,Shell,Deputy Senate,38,-68.79544463438802,-1.8104064377470528,1,0
2015,Shell,Channels Television,22,-45.15857687729278,-2.05266258533149,1,0
2015,Shell,Boeing,22,-45.15857687729278,-2.05266258533149,1,0
2015,Shell,Nnamdi Azikiwe International Airport,69,-143.70343286741647,-2.082658447353862,1,0
2015,Shell,Electoral Commission,880,-1806.3430750917323,-2.052662585331514,1,0
2015,Shell,Christian Church,22,-45.15857687729278,-2.05266258533149,1,0
2015,Shell,National Executive Council,44,-90.31715375458556,-2.05266258533149,1,0
2015,Shell,National Executive Committee,45,-90.31715375458556,-2.0070478612130125,1,0
2015,Shell,National Planning,55,-112.89644219323196,-2.05266258533149,1,0
2015,Shell,Governor Forum,77,-158.05501907052474,-2.05266258533149,1,0
2015,Superintendent Of Police,Shell,11,-22.57928843864639,-2.05266258533149,1,0
2015,Shell,Airports Authority Of Nigeria,22,-45.15857687729278,-2.05266258533149,1,0
2015,Deputy Senate,Chevron,6,-12.31597551198894,-2.05266258533149,1,0
2015,Civil Service,Chevron,36,-73.89585307193364,-2.05266258533149,1,0
2015,Nigeria Football Federation,Chevron,14,-28.73727619464086,-2.05266258533149,1,0
2015,Nnamdi Azikiwe International Airport,Chevron,13,-30.13317351786541,-2.3179364244511853,1,0
2015,Progressives Grand Alliance,Chevron,6,-12.31597551198894,-2.05266258533149,1,0
2015,Electoral Commission,Chevron,160,-328.4260136530394,-2.052662585331496,1,0
2015,Chevron,Academic Staff Union Of Universities,2,-4.10532517066298,-2.05266258533149,1,0
2015,Chevron,Action Congress,16,-32.84260136530384,-2.05266258533149,1,0
2015,Deputy National,Chevron,18,-36.94792653596682,-2.05266258533149,1,0
2015,National Executive Committee,Chevron,8,-16.42130068265192,-2.05266258533149,1,0
2015,Governor Forum,Chevron,14,-28.73727619464086,-2.05266258533149,1,0
2015,Nigerian Air,Chevron,14,-28.73727619464086,-2.05266258533149,1,0
2015,Divisional Police,Chevron,6,-12.31597551198894,-2.05266258533149,1,0
2015,Fire Service,Chevron,14,-28.73727619464086,-2.05266258533149,1,0
2015,Governors Forum,Chevron,4,-8.21065034132596,-2.05266258533149,1,0
2015,Labour Party,Chevron,28,-57.47455238928172,-2.05266258533149,1,0
2015,Christian Association Of Nigeria,Chevron,38,-78.00117824259662,-2.05266258533149,1,0
2015,National Universities Commission,Chevron,6,-12.31597551198894,-2.05266258533149,1,0
2015,Ministry Of Justice,Chevron,4,-8.21065034132596,-2.05266258533149,1,0
2015,Nigerian Senate,Chevron,6,-12.31597551198894,-2.05266258533149,1,0
2015,Superintendent Of Police,Chevron,2,-4.10532517066298,-2.05266258533149,1,0
2015,Chevron,Airports Authority Of Nigeria,4,-8.21065034132596,-2.05266258533149,1,0
2015,Nigeria Labour Congress,Chevron,22,-45.15857687729278,-2.05266258533149,1,0
2015,Shell,Management Committee,22,-45.15857687729278,-2.05266258533149,1,0
2015,Management Committee,Chevron,4,-8.21065034132596,-2.05266258533149,1,0
2015,Nigerian Bar Association,Chevron,16,-32.84260136530384,-2.05266258533149,1,0
2015,Toyota,Chevron,10,-20.5266258533149,-2.05266258533149,1,0
2015,Investigation Department,Chevron,2,-4.10532517066298,-2.05266258533149,1,0
2015,Magistrate Court,Chevron,6,-12.31597551198894,-2.05266258533149,1,0
2015,National Youth Service Corps,Chevron,15,-24.80542822609564,-1.6536952150730426,1,0
2015,Shell,Nigeria Centre For Disease,22,-45.15857687729278,-2.05266258533149,1,0
2015,Nigeria Centre For Disease,Chevron,4,-8.21065034132596,-2.05266258533149,1,0
2015,Shell,Rauf Aregbesola,275,-564.482210966164,-2.0526625853315053,1,1
2015,Rauf Aregbesola,Chevron,50,-102.6331292665745,-2.05266258533149,1,1
2015,Wilson Uwujaren,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Chevron,Ahmadu Bello,18,-36.94792653596682,-2.05266258533149,1,1
2015,Lai Mohammed,Chevron,146,-299.6887374583981,-2.052662585331494,1,1
2015,Justice Okon Abang,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Chevron,Alhaji Lai Mohammed,112,-225.2786008901124,-2.011416079376004,1,1
2015,Rochas Okorocha,Chevron,64,-131.37040546121537,-2.05266258533149,1,1
2015,Ohaneze Ndigbo,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Shell,Dan Orbih,11,-22.57928843864639,-2.05266258533149,1,1
2015,Dan Orbih,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Shell,Miyetti Allah,33,-67.73786531593917,-2.05266258533149,1,1
2015,Miyetti Allah,Chevron,6,-12.31597551198894,-2.05266258533149,1,1
2015,Shell,Alex Ekwueme,23,-42.1988791442953,-1.8347338758389264,1,1
2015,Chevron,Alex Ekwueme,4,-8.21065034132596,-2.05266258533149,1,1
2015,Shell,John Oyegun,68,-135.89876235925792,-1.9985112111655576,1,1
2015,Tukur Buratai,Shell,11,-22.57928843864639,-2.05266258533149,1,1
2015,Tukur Buratai,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Samuel Ortom,Chevron,4,-8.21065034132596,-2.05266258533149,1,1
2015,Shell,Adamu Adamu,11,-22.57928843864639,-2.05266258533149,1,1
2015,Chevron,Adamu Adamu,2,-4.10532517066298,-2.05266258533149,1,1
2015,Musiliu Obanikoro,Chevron,18,-36.94792653596682,-2.05266258533149,1,1
2015,Willie Obiano,Chevron,4,-8.21065034132596,-2.05266258533149,1,1
2015,Orji Uzor Kalu,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Chevron,Abiola Ajimobi,10,-20.5266258533149,-2.05266258533149,1,1
2015,Kashim Shettima,Chevron,24,-49.26390204795576,-2.05266258533149,1,1
2015,Uche Secondus,Chevron,6,-12.31597551198894,-2.05266258533149,1,1
2015,Shehu Sani,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Dapo Abiodun,Chevron,4,-8.21065034132596,-2.05266258533149,1,1
2015,Emeka Ihedioha,Chevron,28,-57.47455238928172,-2.05266258533149,1,1
2015,Chibuike Rotimi Amaechi,Chevron,5,-11.11491710360635,-2.22298342072127,1,1
2015,Dino Melaye,Chevron,8,-16.42130068265192,-2.05266258533149,1,1
2015,Shell,Festus Keyamo,121,-248.37217282511028,-2.05266258533149,1,1
2015,Festus Keyamo,Chevron,22,-45.15857687729278,-2.05266258533149,1,1
2015,Chevron,Abdulsalami Abubakar,13,-25.03436551089941,-1.9257204239153392,1,1
2015,Uche Nwosu,Shell,22,-45.15857687729278,-2.05266258533149,1,1
2015,Uche Nwosu,Chevron,4,-8.21065034132596,-2.05266258533149,1,1
2015,Reuben Abati,Chevron,50,-102.6331292665745,-2.05266258533149,1,1
2015,Shell,John Odigie-Oyegun,177,-361.4801308820335,-2.0422606264521663,1,1
2015,Ifeanyi Ubah,Chevron,4,-8.21065034132596,-2.05266258533149,1,1
2015,Simon Lalong,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Ike Ekweremadu,Chevron,10,-20.5266258533149,-2.05266258533149,1,1
2015,Shell,Audu Ogbeh,89,-180.8458233728609,-2.031975543515291,1,1
2015,Olisa Metuh,Chevron,70,-143.6863809732043,-2.05266258533149,1,1
2015,Shell,Nsima Ekere,11,-22.57928843864639,-2.05266258533149,1,1
2015,Nsima Ekere,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Osita Okechukwu,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Dakuku Peterside,Chevron,12,-24.63195102397788,-2.05266258533149,1,1
2015,Seriake Dickson,Chevron,7,-14.95111064712408,-2.1358729495891544,1,1
2015,Stephen Keshi,Chevron,18,-36.94792653596682,-2.05266258533149,1,1
2015,Femi Falana,Chevron,16,-32.84260136530384,-2.05266258533149,1,1
2015,Ibikunle Amosun,Chevron,28,-57.47455238928172,-2.05266258533149,1,1
2015,Shell,Ohanaeze Ndigbo,22,-45.15857687729278,-2.05266258533149,1,1
2015,Ohanaeze Ndigbo,Chevron,4,-8.21065034132596,-2.05266258533149,1,1
2015,Chibuike Amaechi,Chevron,6,-12.31597551198894,-2.05266258533149,1,1
2015,Chevron,Alhaji Atiku Abubakar,6,-12.31597551198894,-2.05266258533149,1,1
2015,Shell,Chris Ngige,12,-28.57352474988558,-2.381127062490465,1,1
2015,Chris Ngige,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Shell,Ahmed Makarfi,22,-45.15857687729278,-2.05266258533149,1,1
2015,Chevron,Ahmed Makarfi,4,-8.21065034132596,-2.05266258533149,1,1
2015,Shell,Ogbeni Rauf Aregbesola,66,-135.47573063187835,-2.05266258533149,1,1
2015,Shell,Philip Shaibu,33,-67.73786531593917,-2.05266258533149,1,1
2015,Philip Shaibu,Chevron,6,-12.31597551198894,-2.05266258533149,1,1
2015,Jimoh Ibrahim,Chevron,6,-12.31597551198894,-2.05266258533149,1,1
2015,Shell,Ibrahim Idris,11,-22.57928843864639,-2.05266258533149,1,1
2015,Ibrahim Idris,Chevron,2,-4.10532517066298,-2.05266258533149,1,1
2015,Shell,Progressives Grand Alliance,36,-69.5634231252698,-1.932317309035272,1,0
2015,Shell,Abiola Ajimobi,58,-114.72200000256257,-1.9779655172855612,1,1
2015,Fidelity Bank,Chevron,9,11.43587189905432,1.2706524332282578,1,0
2015,Jesus Christ,Chevron,39,-76.04222301871602,-1.949800590223488,1,1
2015,Nigerian Air Force,Chevron,15,-28.73727619464086,-1.9158184129760572,1,0
2015,Presidential Amnesty Programme,Chevron,10,-13.289036544850498,-1.32890365448505,1,0
2015,Paul Boroh,Chevron,2,-2.6578073089701,-1.32890365448505,1,1
2015,Shell,Musiliu Obanikoro,100,-207.28838022394405,-2.07288380223944,1,1
2015,Exxon,Abubakar Shekau,1,-3.41809087119633,-3.41809087119633,1,1
2015,Exxon,Attahiru Jega,1,-3.41809087119633,-3.41809087119633,1,1
2015,Nelson Mandela,Exxon,1,-5.76441102756892,-5.76441102756892,1,1
2015,Shell,National Leader,12,-18.553653153979685,-1.5461377628316404,1,0
2015,Shell,Ahmadu Bello,102,-200.9273590936794,-1.9698760695458768,1,1
2015,College Of Education,Chevron,19,-38.45007800081785,-2.0236883158325183,1,0
2015,Simon Lalong,Shell,14,-23.04767595172686,-1.64626256798049,1,1
2015,Femi Gbajabiamila,Chevron,7,-4.193899782135077,-0.599128540305011,1,1
2015,University Of Calabar,Shell,31,-49.39844267385256,-1.5934981507694377,1,0
2015,Shell,Babachir Lawal,2,9.31581265599765,4.657906327998825,1,1
2015,Shell,Ministry Of Agriculture,46,-92.91455635198815,-2.0198816598258293,1,0
2015,Timipre Sylva,Exxon,3,-11.07061962757702,-3.6902065425256736,1,1
2015,Chevron,Bala Mohammed,2,-11.1438679245283,-5.57193396226415,1,1
2015,Chevron,Ayo Fayose,35,-72.15866568383255,-2.061676162395216,1,1
2015,Chevron,Amnesty Office,13,-31.100629117044967,-2.392356085926536,1,0
2015,Nigerian Navy,Chevron,7,-18.120284856223627,-2.588612122317661,1,0
2015,Chinua Achebe,Chevron,9,-20.6409576164986,-2.2934397351665106,1,1
2015,Chevron,Ahmed Tinubu,21,-45.598706252084334,-2.171366964384968,1,1
2015,Shell,Governors Forum,25,-46.02529530800529,-1.841011812320212,1,0
2015,Shell,Donald Duke,1,0.525854513584575,0.525854513584575,1,1
2015,Yakubu Gowon,Exxon,1,-1.40437835605122,-1.40437835605122,1,1
2015,Shell,Maikanti Baru,7,-9.83064849235854,-1.40437835605122,1,1
2015,Maikanti Baru,Chevron,3,-4.21313506815366,-1.40437835605122,1,1
2015,Chevron,Airtel,4,-3.366408914505344,-0.841602228626336,1,0
2015,Us Energy Information Administration,Exxon,4,-11.66981000987774,-2.917452502469435,1,0
2015,Us Energy Information Administration,Chevron,5,-14.426607592959307,-2.8853215185918617,1,0
2015,Etisalat,Chevron,27,-48.66334486567756,-1.8023461061362056,1,0
2015,Shell,Abubakar Shekau,190,-441.1084283353154,-2.321623307027976,1,1
2015,Shell,Kemi Adeosun,3,-9.17030567685591,-3.0567685589519704,1,1
2015,Los Angeles,Chevron,12,16.658416971203277,1.3882014142669397,1,1
2015,Exxon,Catholic Church,1,-0.705716302046577,-0.705716302046577,1,0
2015,Shell,Nigeria Football Federation,89,-191.36994052109603,-2.150224050798832,1,0
2015,Ministry Of Agriculture,Chevron,188,-450.5290365130733,-2.3964310452823048,1,0
2015,Nigeria Customs Service,Chevron,92,-221.1591930858725,-2.403904272672527,1,0
2015,National Judicial Council,Chevron,96,-229.36984342719845,-2.38926920236665,1,0
2015,National Coordinator,Chevron,96,-229.36984342719845,-2.38926920236665,1,0
2015,Ministry Of Works,Chevron,94,-225.26451825653547,-2.3964310452822923,1,0
2015,National Emergency Management Agency,Chevron,199,-462.9335866365346,-2.3262994303343447,1,0
2015,National Human Rights Commission,Chevron,4,-12.43293851937505,-3.1082346298437624,1,0
2015,Chevron,Ayodele Fayose,35,-75.75000346742084,-2.164285813354881,1,1
2015,Muhammad Buhari,Chevron,11,-26.48610141946508,-2.4078274017695525,1,1
2015,Samsung,Chevron,2,6.134749917133339,3.0673749585666696,1,0
2015,Shell,Dapo Abiodun,66,-95.5831954958394,-1.4482302347854452,1,1
2015,Garba Shehu,Exxon,1,-3.49794238683128,-3.49794238683128,1,1
2015,Exxon,Edwin Clark,1,-3.4956304619226,-3.4956304619226,1,1
2015,Shell,Magistrate Court,34,-73.14798747998803,-2.151411396470236,1,0
2015,Exxon,Aminu Tambuwal,2,-10.625,-5.3125,1,1
2015,Exxon,African Development Bank,7,-27.19154279707424,-3.884506113867749,1,0
2015,Exxon,Emeka Ihedioha,2,-3.62882127369817,-1.814410636849085,1,1
2015,Exxon,Atiku Abubakar,3,-7.046912144894501,-2.3489707149648336,1,1
2015,Ogbeni Rauf Aregbesola,Chevron,18,-8.201930740002238,-0.4556628188890132,1,1
2015,Shell,Julius Berger,67,-84.14732290857513,-1.2559301926653006,1,1
2015,World Health Organisation,Chevron,42,-61.1443039123378,-1.4558167598175666,1,0
2015,Ministry Of Health,Chevron,54,-85.77625493631568,-1.5884491654873274,1,0
2015,Lafarge,Exxon,2,6.62280701754386,3.31140350877193,1,0
2015,Exxon,Access Bank,5,10.34662392987899,2.069324785975798,1,0
2015,Fidelity Bank,Exxon,2,6.62280701754386,3.31140350877193,1,0
2015,Exxon,Emmanuel Uduaghan,2,6.62280701754386,3.31140350877193,1,1
2015,Department Of State Security,Chevron,29,-60.40729951605115,-2.0830103281396948,1,0
2015,Jacob Zuma,Chevron,6,-10.61405606423376,-1.7690093440389598,1,1
2015,Pope Francis,Chevron,2,-2.4034057229078,-1.2017028614539,1,1
2015,Nelson Mandela,Chevron,1,-1.2017028614539,-1.2017028614539,1,1
2015,Shell,Jacob Zuma,24,-54.57929074505169,-2.274137114377154,1,1
2015,Pope Francis,Exxon,1,-4.71035693387946,-4.71035693387946,1,1
2015,Las Vegas,Chevron,3,-9.13677171154348,-3.045590570514493,1,1
2015,Exxon,Department Of State Security,7,-8.794603909534564,-1.2563719870763663,1,0
2015,Chevron,Champions League,4,-26.52956298200512,-6.63239074550128,1,0
2015,Exxon,Champions League,12,-79.58868894601538,-6.632390745501282,1,0
2015,Chevron,Aisha Buhari,11,-18.01867796932452,-1.6380616335749565,1,1
2015,Union Congress,Chevron,20,-33.67290593918328,-1.683645296959164,1,0
2015,Union Congress,Exxon,3,0.2320745109152597,0.0773581703050865,1,0
2015,Mohammadu Buhari,Chevron,27,-72.5450800263712,-2.6868548157915257,1,1
2015,Mohammadu Buhari,Exxon,17,-52.0184541730563,-3.059909069003312,1,1
2015,Ifeanyi Ugwuanyi,Chevron,32,66.30948869063715,2.072171521582411,1,1
2015,Christian Church,Chevron,7,-2.142279908278221,-0.3060399868968887,1,0
2015,Shell,Amnesty Office,10,-39.470835539769936,-3.9470835539769937,1,0
2015,Shell,Nigel Farage,1,-4.02576489533011,-4.02576489533011,1,1
2015,Nigel Farage,Exxon,1,-4.02576489533011,-4.02576489533011,1,1
2015,Shell,Fire Service,82,-165.59170635452978,-2.019411053104021,1,0
2015,Shell,Bala Mohammed,3,-10.59554924779443,-3.53184974926481,1,1
2015,Shell,Alhaji Atiku Abubakar,35,-70.46118882239408,-2.013176823496974,1,1
2015,Exxon,Boeing,28,-117.715279791244,-4.204117135401572,1,0
2015,Nigeria Labour Congress,Exxon,5,-36.28773281952475,-7.25754656390495,1,0
2015,National Conference,Exxon,8,-2.883237372630896,-0.360404671578862,1,0
2015,Julius Berger,Exxon,5,-4.4785905173013685,-0.8957181034602737,1,1
2015,Olu Falae,Exxon,4,-1.441618686315448,-0.360404671578862,1,1
2015,Festus Keyamo,Exxon,4,-1.441618686315448,-0.360404671578862,1,1
2015,Shell,National Drug Law Enforcement Agency,16,-24.665209603029037,-1.5415756001893146,1,0
2015,Ministry Of Works,Exxon,1,5.18382352941176,5.18382352941176,1,0
2015,Shell,Abdulmumin Jibrin,1,-4.40565253532835,-4.40565253532835,1,1
2015,Chevron,Asari Dokubo,28,-58.30892123683586,-2.082461472744138,1,1
2015,Yakubu Gowon,Chevron,16,-28.01530207766194,-1.7509563798538712,1,1
2015,Shell,Nnamdi Azikiwe,151,-308.2879654640841,-2.0416421553912856,1,1
2015,Nnamdi Azikiwe,Chevron,28,-56.527881275989806,-2.0188529027139217,1,1
2015,Shell,Obio Akpor,1,-2.83185840707965,-2.83185840707965,1,1
2015,Samsung,Exxon,6,8.5308518434188,1.4218086405698,1,0
2015,Los Angeles,Exxon,6,-12.6801152737752,-2.1133525456292,1,1
2015,National Executive Council,Chevron,9,-17.161310549450143,-1.906812283272238,1,0
2015,Exxon,Ahmed Tinubu,6,-14.439594640255317,-2.406599106709219,1,1
2015,Exxon,Aisha Buhari,7,-35.79587079436524,-5.113695827766463,1,1
2015,Chevron,Boeing,10,-39.69213182280743,-3.9692131822807424,1,0
2015,Shell,Emeka Ihedioha,164,-331.311624393529,-2.02019283166786,1,1
2015,Shell,Shehu Sani,13,-26.166738877435407,-2.012826067495032,1,1
2015,John Kerry,Chevron,5,-22.840998497961543,-4.568199699592308,1,1
2015,Shell,Femi Falana,117,-253.99102866177608,-2.170863492835693,1,1
2015,Exxon,David Cameron,5,-15.064939626640518,-3.012987925328104,1,1
2015,Shell,David Cameron,40,-107.53473152229604,-2.6883682880574007,1,1
2015,David Cameron,Chevron,5,-12.25415425239055,-2.45083085047811,1,1
2015,Shell,Las Vegas,23,-7.851280735278635,-0.3413600319686363,1,1
2015,Shell,Presidential Task,4,-14.93268053855568,-3.73317013463892,1,0
2015,Presidential Task,Chevron,4,-14.93268053855568,-3.73317013463892,1,0
2015,Olusegun Mimiko,Chevron,13,-32.53842066804728,-2.502955436003637,1,1
2015,Shell,Obafemi Awolowo,228,-453.2054752017094,-1.9877433122881991,1,1
2015,Obafemi Awolowo,Chevron,42,-88.62617256924553,-2.110146965934417,1,1
2015,Chevron,Bisi Akande,10,-23.88764095192976,-2.388764095192976,1,1
2015,Exxon,Emirates,2,-4.52224163418896,-2.26112081709448,1,0
2015,National Security,Exxon,9,-20.35008735385032,-2.26112081709448,1,0
2015,Shell,Emirates,22,-49.74465797607855,-2.26112081709448,1,0
2015,Shell,Angela Merkel,23,7.965437284337721,0.3463233601885965,1,1
2015,Service Chiefs,Exxon,1,0.386100386100386,0.386100386100386,1,0
2015,Shell,Divisional Police,35,-79.05802477904182,-2.258800707972623,1,0
2015,Shell,Lafarge,170,23.1680282183724,0.1362825189316023,1,0
2015,Chevron,Atiku Abubakar,125,-266.0578966760912,-2.1284631734087296,1,1
2015,Magnus Abe,Chevron,9,-19.25021850932457,-2.13891316770273,1,1
2015,Safety Agency,Exxon,5,5.198022039772259,1.0396044079544515,1,0
2015,Nigerian Maritime Administration,Exxon,4,5.903738341818836,1.475934585454709,1,0
2015,Ministry Of Justice,Exxon,2,-1.663201663201664,-0.831600831600832,1,0
2015,Nigerian Stock Exchange,Chevron,52,-38.98376335885879,-0.7496877569011305,1,0
2015,Lafarge,Chevron,9,-16.35653175373394,-1.8173924170815487,1,0
2015,Ibrahim Babangida,Chevron,26,-49.76394262712493,-1.9139977933509589,1,1
2015,Shell,Dino Melaye,57,-123.04948196712688,-2.1587628415285414,1,1
2015,Shell,Kashim Shettima,167,-250.485688383589,-1.4999143016981378,1,1
2015,National Economic Council,Exxon,11,-4.735063616437328,-0.4304603287670298,1,0
2015,Shell,Emmanuel Uduaghan,236,-479.791651569186,-2.033015472750788,1,1
2015,Exxon,Dangote Group,6,-12.57603017007489,-2.096005028345815,1,0
2015,Chevron,Barack Obama,35,-81.74160588978977,-2.3354744539939936,1,1
2015,Public Affairs,Exxon,11,11.06541357986329,1.005946689078481,1,0
2015,Exxon,Etisalat,38,30.70511252089097,0.8080292768655518,1,0
2015,Muhammad Buhari,Exxon,14,7.5393849471244305,0.5385274962231736,1,1
2015,Nyesom Wike,Chevron,17,-31.69780251043033,-1.864576618260608,1,1
2015,Godsday Orubebe,Chevron,5,-7.065851486452454,-1.4131702972904907,1,1
2015,Godsday Orubebe,Exxon,3,-2.960526315789474,-0.986842105263158,1,1
2015,Shell,Guinness,31,22.958476892694783,0.7405960287966059,1,0
2015,Shell,Civil Service,215,-419.0913185533241,-1.9492619467596468,1,0
2015,Nigerian Air Force,Exxon,1,-3.94218134034166,-3.94218134034166,1,0
2015,Fire Service,Exxon,1,0.976759851801953,0.976759851801953,1,0
2015,Udom Emmanuel,Chevron,14,4.278718101818456,0.3056227215584611,1,1
2015,Nasir El-Rufai,Exxon,3,-8.0290253552476,-2.676341785082533,1,1
2015,Skye Bank,Shell,82,-174.65942065788593,-2.1299929348522677,1,0
2015,Energy Information Administration,Chevron,23,-50.15480991744751,-2.18064390945424,1,0
2015,Shell,Nigerian Senate,47,-101.4076480674187,-2.1576095333493344,1,0
2015,Nigerian Maritime Administration,Chevron,4,0.5766487428845801,0.144162185721145,1,0
2015,Safety Agency,Chevron,4,0.5766487428845801,0.144162185721145,1,0
2015,Musiliu Obanikoro,Exxon,1,-0.317460317460317,-0.317460317460317,1,1
